Round,RPi,Treatment,Pre_exp_treat,Tube,Solution,Start,End,Change,Notes,Solution_2,Solution_3,Solution_4
7,2,Nic_nochoice,Nicotine,R,S2,3.5372,3.3981,0.1391,Alive,S2,S1,S1
7,3,Nic_nochoice,Nicotine,L,S1,3.5474,3.3159,0.2315,Alive,S2,S1,S2
7,3,Nic_nochoice,Nicotine,R,S2,3.5442,3.4926,0.0516,Alive,S1,S2,S1
7,4,Nic_nochoice,Nicotine,L,S1,3.5944,3.423,0.1714,Alive,S2,S2,S1
7,4,Nic_nochoice,Nicotine,R,S2,3.5605,3.3993,0.1612,Alive,S1,S1,S2
7,5,Nic_nochoice,Nicotine,L,S1,3.5145,3.4449,0.0696,Died,S1,S1,S1
7,5,Nic_nochoice,Nicotine,R,S2,3.5606,3.4857,0.0749,Died,S2,S2,S2
7,6,Nic_nochoice,Nicotine,L,S1,3.5304,3.4349,0.0955,Alive,S2,S2,S1
7,6,Nic_nochoice,Nicotine,R,S2,3.528,3.4399,0.0881,Alive,S1,S1,S2
7,7,Nic_choice,Nicotine,L,S,3.542,3.423,0.119,Alive,S,S,S
7,7,Nic_choice,Nicotine,R,N,3.434,3.2756,0.1584,Alive,N,N,N
7,8,Nic_choice,Nicotine,L,S,3.4953,3.3077,0.1876,Alive,S,S,S
7,8,Nic_choice,Nicotine,R,N,3.3992,3.2913,0.1079,Alive,N,N,N
7,9,Nic_choice,Nicotine,L,S,3.4872,3.3824,0.1048,Alive,S,S,S
7,9,Nic_choice,Nicotine,R,N,3.5124,3.4076,0.1048,Alive,N,N,N
7,10,Nic_choice,Nicotine,L,N,3.5163,3.4166,0.0997,Alive,N,N,N
7,10,Nic_choice,Nicotine,R,S,3.5263,3.3335,0.1928,Alive,S,S,S
9,1,Suc_choice,Sucrose,L,N,3.5045,3.2883,0.2162,Alive,N,N,N
9,1,Suc_choice,Sucrose,R,S,3.5434,3.4285,0.1149,Alive,S,S,S
9,2,Suc_choice,Sucrose,L,N,3.5522,3.3669,0.1853,Alive,N,N,N
9,2,Suc_choice,Sucrose,R,S,3.5409,3.3949,0.146,Alive,S,S,S
9,3,Suc_choice,Sucrose,L,S,3.464,3.3954,0.0686,Alive,S,S,S
9,3,Suc_choice,Sucrose,R,N,3.5789,3.4651,0.1138,Alive,N,N,N
9,4,Suc_choice,Sucrose,L,N,3.5493,3.4616,0.0877,Died,N,N,N
9,4,Suc_choice,Sucrose,R,S,3.4937,3.3122,0.1815,Died,S,S,S
9,5,Nic_choice,Nicotine,L,S,3.5005,3.3688,0.1317,Alive,S,S,S
9,5,Nic_choice,Nicotine,R,N,3.5671,3.3258,0.2413,Alive,N,N,N
9,6,Nic_choice,Nicotine,L,N,3.5542,3.3027,0.2515,Alive,N,N,N
9,6,Nic_choice,Nicotine,R,S,3.5158,3.1926,0.3232,Alive,S,S,S
10,1,Nic_nochoice,Nicotine,L,S2,3.485,3.3684,0.1166,Alive,S2,S1,S1
10,1,Nic_nochoice,Nicotine,R,S1,3.4846,3.1591,0.3255,Alive,S1,S2,S2
10,2,Nic_nochoice,Nicotine,L,S2,3.4605,3.4023,0.0582,Alive,S1,S2,S1
10,2,Nic_nochoice,Nicotine,R,S1,3.5364,3.2189,0.3175,Alive,S2,S1,S2
10,3,Nic_nochoice,Nicotine,L,S1,3.5215,3.3363,0.1852,Alive,S1,S1,S2
10,3,Nic_nochoice,Nicotine,R,S2,3.5875,3.4582,0.1293,Alive,S2,S2,S1
10,4,Nic_nochoice,Nicotine,L,S1,3.5535,3.4547,0.0988,Alive,S1,S2,S2
10,4,Nic_nochoice,Nicotine,R,S2,3.6104,3.3408,0.2696,Alive,S2,S1,S1
10,5,Nic_nochoice,Nicotine,L,S1,3.5384,3.476,0.0624,Died,S1,S1,S1
10,5,Nic_nochoice,Nicotine,R,S2,3.534,3.4607,0.0733,Died,S2,S2,S2
10,6,Nic_nochoice,Nicotine,L,S2,3.5452,3.4773,0.0679,Died,S1,S2,S2
10,6,Nic_nochoice,Nicotine,R,S1,3.5293,3.4774,0.0519,Died,S2,S1,S1
10,7,Nic_nochoice,Nicotine,L,S2,3.542,3.4701,0.0719,Alive,S2,S1,S2
10,7,Nic_nochoice,Nicotine,R,S1,3.5993,3.3793,0.22,Alive,S1,S2,S1
10,8,Nic_nochoice,Nicotine,L,S2,3.5308,3.315,0.2158,Alive,S2,S2,S1
10,8,Nic_nochoice,Nicotine,R,S1,3.3602,3.2959,0.0643,Alive,S1,S1,S2
10,9,Nic_nochoice,Nicotine,L,S1,3.5283,3.4208,0.1075,Alive,S2,S1,S1
10,9,Nic_nochoice,Nicotine,R,S2,3.5227,3.3918,0.1309,Alive,S1,S2,S2
10,10,Nic_nochoice,Nicotine,L,S1,3.5804,3.446,0.1344,Alive,S1,S2,S2
10,10,Nic_nochoice,Nicotine,R,S2,3.6133,3.4994,0.1139,Alive,S2,S1,S1
